title,location,description,date
Hispanic Heritage Month Dinner and Celebration,Zachry Engineering Education Complex,"
  All Aggie engineering students are invited to join us for a Hispanic Heritage Month dinner and celebration! RSVP to reserve your spot.&#160;
",September 27
Cycling - MSU Mountain Bike Race,"Wichita Falls, TX, USA",,September 27
Texas A&amp;M University Volleyball vs Texas,"Bryan-College Station, Reed Arena",,September 27
Texas A&amp;M University Volleyball vs Texas,"Bryan-College Station, Reed Arena",,September 27
Men’s Rugby - Maroon vs Arkansas and Grey vs TCU,"Dallas, TX, USA",,September 27
University Jazz Ensembles in Concert,Rudder Theater,"
  University Jazz Ensembles in concert.
",September 27
University Jazz Ensembles in Concert,Rudder Theater,"
  University Jazz Ensembles in concert.
",September 27
Epic Large Group,All Faiths Chapel,,September 27
Ice Hockey - @ UNT,"Children’s Health StarCenter Valley Ranch, 211 Cowboys Pkwy, Irving, TX 75063, USA",,September 27
Howdy Week - Yell Practice,Fort Worth Stockyards,"
  Howdy Week - Yell Practice
  Friday, September 27
  10:00 – 10:45 p.m.
  East Exchange Steps in the Fort Worth Stockyards, 131 E. Exchange Ave., Fort Worth, TX 76164
",September 27
Always a Bridesmaid,Unity Theatre,,September 28
CLOSED,,,September 28
CLOSED,,,September 28
CLOSED,,,September 28
Cycling - MSU Mountain Bike Race,"Wichita Falls, TX, USA",,September 28
Explore Inks Lake,Inks Lake,"
  Check out one of the state’s best resources – state parks. These spots come from staff recommendations and any outdoors enthusiast has on their list of places to visit in the state. We will camp comfortably and explore all the park has to offer.


  Price:$136* / $163**


  Register by:Tuesday, Sept. 24
",September 28
Explore Inks Lake,Inks Lake,"
  Check out one of the state’s best resources – state parks. These spots come from staff recommendations and any outdoors enthusiast has on their list of places to visit in the state. We will camp comfortably and explore all the park has to offer.


  Price:$136* / $163**


  Register by:Tuesday, Sept. 24
",September 28
Explore Inks Lake,Inks Lake,"
  Check out one of the state’s best resources – state parks. These spots come from staff recommendations and any outdoors enthusiast has on their list of places to visit in the state. We will camp comfortably and explore all the park has to offer.


  Price:$136* / $163**


  Register by:Tuesday, Sept. 24
",September 28
Free Tutoring,College Hills Baptist Church 712 Churchill Street College Station Texas 77840,,September 28
FTAB half-time @ AT&amp;T Stadium - vs. Arkansas,"AT&amp;T Stadium, Arlington, TX","
  The Aggie Band performs at half-time.
",September 28
Ice Hockey - @ UNT,"Children’s Health StarCenter Valley Ranch, 211 Cowboys Pkwy, Irving, TX 75063, USA",,September 28
Inaugural Engineering Art Competition,Zachry Engineering Education Complex,"
  Engineering Art Competition
  Theme: Aggie Engineering: Forging the Future!
  August 19, 2024 - October 4, 2024
  We are excited to host our inaugural art contest exclusively for engineering students! This is your chance to showcase your creativity alongside your technical skills.
",September 28
Pattern Recognition,Forsyth Galleries,"
  Exploring how patterns can be used to make or decorate art and objects from the University Art Galleries collections.
",September 28
Pattern Recognition,Forsyth Galleries,Exploring how patterns can be used to make or decorate art and objects from the University Art Galleries collections.,September 28
Poetry in Motion,J. Wayne Stark Galleries,"
  This exhibition pairs two forms of expressive activity: art and short poetry. With poems by writers from Shakespeare to Langston Hughes, visitors are encouraged to look at the art with new eyes.
",September 28
Poetry in Motion,J. Wayne Stark Galleries,"
  This exhibition pairs two forms of expressive activity: art and short poetry. With poems by writers from Shakespeare to Langston Hughes, visitors are encouraged to look at the art with new eyes.
",September 28
Shutter and Sound: The Jazz Photography of Bob Willoughby,J. Wayne Stark Galleries,"
  Bob Willoughby’s images are jazz improvisation made manifest: they give the viewer a sense of vibrant intimacy as he captured wistful singers, jamming musicians, and enthusiastic audiences.
",September 28
Shutter and Sound: The Jazz Photography of Bob Willoughby,J. Wayne Stark Galleries,"
  Bob Willoughby’s images are jazz improvisation made manifest: they give the viewer a sense of vibrant intimacy as he captured wistful singers, jamming musicians, and enthusiastic audiences.
",September 28
Texas A&amp;M University Men’s Tennis at ITA All-American Championship,"Tulsa, Okla., Michael D. Case Tennis Center",,September 28
Texas A&amp;M University Men’s Tennis at ITA All-American Championship,"Tulsa, Okla., Michael D. Case Tennis Center",,September 28
Texas A&amp;M University Women’s Tennis at ITA All-American Championship,"Cary, N.C., Cary Tennis Park",,September 28
Texas A&amp;M University Women’s Tennis at ITA All-American Championship,"Cary, N.C., Cary Tennis Park",,September 28
Texas Family Support Group,Online Virtual Meeting for all of Texas,,September 28
Thrifted Religion,"J. Wayne Stark Galleries, Education Gallery","
  “Thrifted Religion” invites viewers to explore the breadth of spiritual traditions found in Aggieland and East Texas through the common and unique religious objects found at local secondhand shops.
",September 28
Thrifted Religion,"J. Wayne Stark Galleries, Education Gallery","
  “Thrifted Religion” invites viewers to explore the breadth of spiritual traditions found in Aggieland and East Texas through the common and unique religious objects found at local secondhand shops.
",September 28
Transit Fall Service,Memorial Student Center,"
  Weekday Service Hours &#160;7:00 AM - Midnight
  Weekend Service Hours &#160;9:00 AM - 6:00 PM
",September 28
Virtual Walk Challenge,,"
  Walk Through Texas History during our 4-week virtual walk challenge.
",September 28
Water Ski - SCR Regionals,"Katy, TX, USA",,September 28
State Employee Charitable Campaign,Across campus,"The State Employee Charitable Campaign (SECC) is an opportunity for state employees to donate to charities through payroll deductions.&#160; Between Sept. 1 and Oct 31, employees can designate dollars as a one-time gift or monthly to 24 local charities and more than 1,000 nationally.&#160;&#160;",September 28
Women’s Volleyball - Aggie Classic,"Student Recreation Center, 187 Corrington Dr, College Station, TX 77843, USA",,September 28
Women’s Volleyball - Aggie Classic,"Student Recreation Center, 187 Corrington Dr, College Station, TX 77843, USA",,September 28
Pistol - Jaguar Marksmanship Sept PTO 60 Match,"San Antonio, TX, USA",,September 28
Men’s Waterpolo - Rice Tournament,"Houston, TX, USA",,September 28
Sisters in Fire,,Sisters in Fire is an annual one-day event fro 8th-12th grade girls.,September 28
Howdy Week - Corps of Cadets March-In,Downtown Fort Worth,"
  Howdy Week - Texas A&amp;M Corps of Cadets March-In
  Saturday, September 28
  9:00 am - 10:30 am
  Downtown Fort Worth
",September 28
Women’s Rugby - vs UTSA,"Penberthy Field 8, College Station, TX 77840, USA",,September 28
Food Preservation Workshop,"4224 Cobbs Drive, Waco","
  The Texas A&amp;M AgriLife Extension Service office in McLennan County is offering a home canning class on Sept. 28 in Waco.
",September 28
Women’s Rugby - vs UTSA,"Penberthy Field 8, College Station, TX 77840, USA",,September 28
RC Open,,,September 28
Sparks of Knowledge Fire Conference,Decatur Conference Center,"
  The Texas A&amp;M AgriLife Extension Service and Wise County Office of Emergency Management will host “Sparks of Knowledge,” a free conference dedicated to introducing participants to the role of prescribed fire in land management and wildfire prevention on Sept. 28 in Decatur.&#160;
",September 28
Sisters in Fire,,,September 28
Hands on in the garden,"3151 SE Inner Loop, Georgetown",Texas A&amp;M AgriLife Extension Services and the Williamson County Master Gardeners are holding a complimentary gardening program.&#160;,September 28
Trap &amp; Skeet - Aggie Shootout,"Greater Houston Sports Club, 6700 McHard Rd, Houston, TX 77053, USA",,September 28
Operating Hours,,,September 28
Lap Pool,,,September 28
Southside Rec Center Hours,,,September 28
Student Rec Center Hours,,,September 28
Outdoor Pool,,,September 28
Penberthy North Hours,,,September 28
Medieval Words for 2025,Liberal Arts and Arts &amp; Humanities Building,"
  For a special issue of the journal Medieval Perspectives, eight distinguished scholars of language and literature were invited to select a word from any medieval language, then analyze what the word’s history might have to offer for “where we are now.”
",September 28
Medieval Words for 2025,Liberal Arts and Arts &amp; Humanities Building,"
  For a special issue of the journal Medieval Perspectives, eight distinguished scholars of language and literature were invited to select a word from any medieval language, then analyze what the word’s history might have to offer for “where we are now.”
",September 28
ICF Open,,,September 28
Men’s Soccer - vs LSU,"Penberthy Field 10, Penberthy Blvd, College Station, TX 77840, USA",,September 28
Men’s Soccer - vs LSU,"Penberthy Field 10, Penberthy Blvd, College Station, TX 77840, USA",,September 28
Howdy Week - Fort Worth A&amp;M Club Watch Party,Rusty Nickel Icehouse,"
  Howdy Week - Fort Worth A&amp;M Club Watch Party
  Saturday, September 28
  2:30 pm kickoff
  Rusty Nickel Icehouse | 2836 Stanley Ave, Fort Worth, TX 76110
",September 28
Southwest Classic Football Game: Arkansas vs. Texas A&amp;M,AT&amp;T Stadium,"
  Southwest Classic Football Game: Arkansas vs. Texas A&amp;M
  Saturday, September 28
  2:30 pm kickoff
  AT&amp;T Stadium in Arlington
",September 28
Texas A&amp;M Chemistry Road Show,ILTexas College Station K8 3610 Longmire Drive College Station TX 77845,,September 28
Omar Smith Tennis Center Hours,,,September 28
Trap &amp; Skeet - Aggie Shootout,"Houston, TX, USA",,September 28
Polo - TAMU Men vs Texas Tech,"Brookshire, TX 77423, USA",,September 28
Always a Bridesmaid,Unity Theatre,,September 29
